label,LST,NDVI,elevation,ACQ_DATE
0,15027.5,3455.0,2173,1625973886780
0,15515.0,5109.0,696,1627245083647
0,15701.0,5429.0,207,1626112853136
0,15172.0,4133.0,1492,1625565168483
0,15646.0,2767.0,1428,1626757787875
0,15312.0,4942.0,1132,1627243261650
0,15552.0,2451.0,1374,1627245083647
0,15646.0,2434.0,1464,1627245083647
0,15380.0,6827.0,583,1627245083647
0,15148.0,5589.0,1695,1627245083647
0,15366.0,5805.0,805,1625730500377
0,15418.0,3338.0,2048,1627245083647
0,15487.0,3355.0,1289,1627245083647
0,14981.0,1834.0,2427,1627245083647
0,15490.0,5564.0,438,1627245083647
0,15467.0,2746.0,1480,1625465152563
0,15892.5,2803.0,45,1626806237355
0,15691.0,2536.0,106,1627179158607
0,15457.0,3886.0,1447,1627188287718
0,15499.0,4418.0,446,1625851481645
0,15454.0,2890.0,1310,1627245083647
0,15871.5,3526.0,137,1626787839704
0,15714.5,3213.0,1544,1626574694238
0,15602.0,3214.0,1112,1627245083647
0,15135.5,1815.0,2076,1625934223037
0,15229.0,3452.0,1318,1627245083647
0,15581.0,2704.0,948,1627245083647
0,15594.0,2589.0,1503,1627245083647
0,15318.0,2052.0,2238,1627245083647
0,15173.0,4767.0,1646,1627245083647
0,15584.0,2480.0,16,1627245083647
0,15569.0,3818.0,226,1627245083647
0,15588.0,4993.0,956,1627245083647
0,15258.0,2820.0,2246,1627245083647
0,15306.0,5515.0,1119,1627005326232
0,15450.0,3266.0,1989,1627245083647
0,15537.0,4648.0,1111,1627245083647
0,15568.0,1971.0,1469,1625949544475
0,15228.0,5920.0,1252,1626925356442
0,15454.0,5566.0,1247,1626189707305
0,15179.0,5696.0,1402,1627245083647
0,15665.0,3666.0,17,1627245083647
0,15031.0,1830.0,2448,1626196595646
0,15622.0,2353.0,1700,1627245083647
0,15609.0,3567.0,1147,1627245083647
0,15525.0,2912.0,1785,1627245083647
0,15547.0,3507.0,1343,1626896843147
0,15309.0,5147.0,909,1627245083647
0,14998.0,4482.0,1378,1625582045543
0,15308.0,1967.0,1923,1627245083647
0,15353.0,5986.0,381,1627245083647
0,15213.0,6256.0,1242,1627245083647
0,15219.0,5609.0,1547,1627245083647
0,15652.0,4366.0,46,1627245083647
0,15351.0,6200.0,462,1627245083647
0,15347.0,3734.0,1620,1625126064257
0,15192.0,4620.0,1578,1627245083647
0,14850.0,2872.0,1986,1627245083647
0,15545.0,2951.0,1386,1627245083647
0,15538.0,4621.0,259,1627245083647
0,15405.0,3845.0,1566,1627245083647
0,15451.0,3562.0,1058,1625705742470
0,15303.0,4077.0,1790,1627245083647
0,15447.0,4736.0,1190,1626587329883
0,15293.0,4486.0,1772,1627245083647
0,15695.0,4540.0,1129,1627245083647
0,15373.0,5768.0,837,1627245083647
0,14995.0,3449.0,1821,1627245083647
0,15692.0,4077.0,169,1627062928511
0,15568.0,4087.0,366,1627245083647
0,15517.0,6594.0,249,1626435114682
0,15304.5,6111.0,1097,1625283597541
0,15173.0,4891.0,1549,1627245083647
0,15489.0,4299.0,715,1625440556211
0,15544.0,5347.0,202,1627245083647
0,15562.0,3448.0,1075,1627245083647
0,15609.0,3567.0,1141,1627132571192
0,15088.0,3314.0,1683,1627245083647
0,15670.0,4530.0,14,1627245083647
0,15906.0,1642.0,830,1626080200387
0,15263.0,4888.0,1386,1627245083647
0,15217.0,2917.0,2300,1627245083647
0,15688.5,3550.0,869,1625311869924
0,15478.0,3587.0,1140,1627245083647
0,15421.0,6349.0,685,1627245083647
0,15500.0,5848.0,1445,1626527743897
0,15493.0,2552.0,1600,1627245083647
0,15285.0,6083.0,1080,1627245083647
0,15422.0,6491.0,383,1625792844572
0,15447.0,6047.0,376,1627245083647
0,15569.0,3860.0,516,1627245083647
0,15432.5,6408.0,736,1625481955297
0,15394.0,5334.0,479,1625800169627
0,15005.0,3263.0,1640,1627245083647
0,15657.0,3987.0,1030,1627245083647
0,15781.0,3321.0,857,1627245083647
0,15287.0,5997.0,1477,1627245083647
0,15738.0,4539.0,10,1627245083647
0,15761.0,2827.0,47,1627245083647
0,15697.0,5562.0,273,1626351079126
0,15454.5,4613.0,1155,1626081088963
0,15224.5,5236.0,1537,1625230278603
0,15282.0,5330.0,1346,1627245083647
0,15741.0,3342.0,298,1627245083647
0,15124.0,5156.0,1783,1626176277855
0,15503.0,1732.0,1664,1626675004014
0,15213.0,6117.0,1069,1627245083647
0,15742.0,2417.0,1264,1627245083647
0,15078.0,6054.0,1514,1627245083647
0,15206.0,5274.0,1093,1627245083647
0,15243.0,5597.0,1381,1627245083647
0,15228.0,3908.0,1415,1627245083647
0,15820.0,4634.0,977,1625894085813
0,15308.5,5917.0,611,1625308555270
0,15619.0,2185.0,1642,1625712837219
0,15770.0,1976.0,1506,1627245083647
0,15051.5,1900.0,2414,1626661768995
0,15371.0,4058.0,1206,1627245083647
0,15361.0,5018.0,1017,1627245083647
0,15089.0,6508.0,1106,1627223880440
0,15357.5,5309.0,548,1625265996262
0,15225.0,5802.0,923,1627245083647
0,15020.0,2411.0,2500,1627245083647
0,15377.0,3771.0,1457,1625157567807
0,15316.0,1923.0,2106,1627245083647
0,15343.0,5730.0,1529,1626848031494
0,15414.0,4829.0,758,1627245083647
0,15674.0,1984.0,1038,1627245083647
0,15600.5,2700.0,1474,1625422915982
0,15649.5,5516.0,215,1626807749577
0,15557.0,3617.0,1528,1627245083647
0,15684.0,4736.0,150,1627245083647
0,15242.5,5075.0,1102,1625256226241
0,15345.0,4413.0,1479,1627245083647
0,15621.0,2819.0,1173,1627245083647
0,15095.0,6030.0,1474,1627245083647
0,15360.0,5524.0,1116,1627245083647
0,15432.0,3403.0,1422,1627245083647
0,15383.0,4218.0,1254,1625741058063
0,15418.0,6144.0,297,1627245083647
0,15390.0,5039.0,941,1626851767267
0,15226.0,3460.0,1875,1627199506760
0,15374.0,5415.0,618,1627245083647
0,15689.0,5287.0,285,1627162730878
0,15595.0,3192.0,1373,1627245083647
0,15551.0,3371.0,1457,1625377587649
0,15405.0,5495.0,1405,1626768894886
0,15591.0,4223.0,579,1627245083647
0,15373.0,5712.0,608,1627067789718
0,15078.0,2643.0,2173,1625206162179
0,15805.0,3136.0,38,1627245083647
0,15489.5,4185.0,1442,1626661410773
0,15440.0,6346.0,843,1626317682670
0,15869.0,2508.0,956,1627245083647
0,15269.0,6666.0,663,1625446997580
0,15369.0,6192.0,660,1627245083647
0,15629.0,3826.0,39,1627245083647
0,15690.0,4184.0,86,1627245083647
0,15228.5,2603.0,1841,1626177765664
0,15731.0,3075.0,960,1627245083647
0,15484.0,5324.0,609,1627245083647
0,15840.0,3075.0,309,1627245083647
0,15349.0,3860.0,1284,1627245083647
0,15236.0,5096.0,1168,1627245083647
0,15799.0,1527.0,1100,1627245083647
0,15249.0,4014.0,1581,1626707220859
0,15181.0,5322.0,1393,1627245083647
0,15674.0,2903.0,1510,1626495725675
0,15183.0,4912.0,1404,1627245083647
0,15412.0,4951.0,1012,1627245083647
0,15603.0,2244.0,1303,1626957839604
0,15316.0,4790.0,1523,1627245083647
0,15466.0,4009.0,1230,1627245083647
0,15385.0,6307.0,356,1627245083647
0,15766.0,2674.0,1042,1627245083647
0,15352.0,5819.0,700,1627245083647
0,15290.0,2644.0,2083,1627245083647
0,15424.0,5562.0,669,1627245083647
0,15529.0,4197.0,580,1627231837216
0,15573.0,5065.0,737,1627079361029
0,15460.0,2580.0,1788,1627245083647
0,15812.0,2056.0,1111,1626928496369
0,15468.0,2887.0,1216,1627245083647
0,15646.0,2766.0,36,1627245083647
0,15535.0,4842.0,671,1627245083647
0,15412.0,4772.0,835,1627245083647
0,15525.0,4118.0,1206,1627245083647
0,15683.0,5866.0,342,1626506153076
0,15337.0,2154.0,1767,1625772259785
0,15595.0,2811.0,1007,1627245083647
0,15601.0,1759.0,2,1627245083647
0,15060.0,4856.0,1362,1625843307769
0,15521.5,5224.0,479,1625474129560
0,15262.5,4822.0,1517,1625913636108
0,15370.5,2226.0,1890,1625226039026
0,15457.5,3227.0,1039,1625256941058
0,15963.5,1734.0,1084,1626888949410
0,15321.0,5571.0,1113,1627245083647
0,16098.0,2075.0,841,1626681226777
0,15326.0,5522.0,1536,1627245083647
0,15402.0,2266.0,1925,1625610873467
0,15416.0,6185.0,419,1627245083647
0,15736.0,4089.0,110,1627245083647
0,15502.0,5516.0,498,1627245083647
0,15189.5,5609.0,1642,1626856071727
0,15482.0,5951.0,182,1627245083647
0,15626.0,4661.0,62,1627245083647
0,15256.0,4970.0,1093,1627245083647
0,15651.0,3329.0,1444,1627245083647
0,15369.0,3870.0,1402,1627007297642
0,15499.0,1938.0,1913,1627245083647
0,15741.0,2597.0,1166,1626736157129
0,15345.0,5927.0,683,1627245083647
0,15543.0,4703.0,158,1627245083647
0,15396.0,3648.0,1384,1627245083647
0,15212.5,3384.0,1618,1625360053582
0,15259.0,5038.0,1273,1627245083647
0,15373.0,5435.0,1046,1626263489468
0,15309.0,6106.0,836,1627245083647
0,15658.0,1759.0,1406,1627245083647
0,15385.0,5722.0,901,1627245083647
0,15910.0,2250.0,1203,1626539142021
0,15144.0,5790.0,1213,1627010900194
0,15713.0,3666.0,919,1626976234232
0,15301.0,4668.0,1521,1627245083647
0,14865.0,2837.0,1988,1627245083647
0,15073.0,3195.0,1887,1627245083647
0,15597.0,3379.0,1478,1625316724102
0,15677.0,5155.0,302,1627245083647
0,15527.0,2875.0,1723,1627004465106
0,15396.0,6729.0,473,1627245083647
0,15450.5,5796.0,925,1626166914185
0,15626.0,4661.0,62,1627245083647
0,15406.0,4785.0,1347,1627245083647
0,15533.0,3594.0,1198,1627245083647
0,15470.0,4768.0,1039,1626500971157
0,15125.0,2334.0,2117,1627245083647
0,15600.0,2732.0,1324,1627245083647
0,15495.0,3271.0,1171,1627245083647
0,15495.0,3927.0,486,1627245083647
0,15662.0,4342.0,966,1627245083647
0,15397.0,5948.0,872,1627245083647
0,15381.5,4901.0,885,1625326864044
