label,LST,NDVI,elevation,ACQ_DATE
1,15742.5,4028.5,7,1627430400000
1,15789.5,2959.0,27,1627430400000
1,15767.5,3975.0,96,1627516800000
1,15750.5,4319.0,68,1627516800000
1,15753.5,4723.0,216,1627516800000
1,15779.5,3166.0,43,1627516800000
1,15708.0,5363.0,209,1627516800000
1,15728.0,5377.0,303,1627516800000
1,15669.5,5787.0,199,1627516800000
1,15623.5,4939.0,329,1627516800000
1,15667.0,6190.0,266,1627516800000
1,15639.5,6615.0,308,1627516800000
1,15809.5,3897.0,111,1627516800000
1,15802.0,2970.0,43,1627516800000
1,15656.5,5612.0,201,1627516800000
1,15774.5,5146.0,159,1627516800000
1,15810.0,4164.0,78,1627516800000
1,15619.5,6297.0,406,1627516800000
1,15763.5,5118.0,278,1627516800000
1,15777.5,4034.0,45,1627516800000
1,15675.5,6182.0,320,1627516800000
1,15727.0,6050.0,322,1627516800000
1,15643.0,6549.0,235,1627516800000
1,15724.5,5260.0,291,1627516800000
1,15769.5,4072.0,224,1627516800000
1,15680.0,3768.0,123,1627516800000
1,15744.0,4382.0,111,1627516800000
1,15682.5,5872.0,174,1627516800000
1,15676.5,2854.0,268,1627516800000
1,15749.0,5628.0,240,1627516800000
1,15780.0,5778.0,170,1627516800000
1,15846.0,4357.0,157,1627516800000
1,15772.5,4471.0,109,1627516800000
1,15574.0,2991.0,111,1627516800000
1,15632.5,4335.0,109,1627516800000
1,15686.5,5704.0,159,1627516800000
1,15741.0,5484.0,85,1627516800000
1,15604.0,4687.0,361,1627516800000
1,15741.5,5301.0,179,1627516800000
1,15717.0,4791.0,41,1627516800000
1,15585.0,4588.0,549,1627516800000
1,15576.0,4819.0,524,1627516800000
1,15631.5,6371.0,325,1627516800000
1,15734.5,4852.0,34,1627516800000
1,15589.5,3242.0,602,1627516800000
1,15714.5,4694.0,929,1627516800000
1,15653.0,5460.0,446,1627516800000
1,15668.0,6158.0,214,1627516800000
1,15815.0,5451.0,150,1627516800000
1,15716.5,4571.0,25,1627516800000
1,15750.5,3760.0,52,1627516800000
1,15678.0,5742.0,370,1627516800000
1,15878.0,5151.0,57,1627516800000
1,15816.5,2572.0,36,1627516800000
1,15703.0,4582.0,612,1627516800000
1,15649.5,5807.0,503,1627516800000
1,15760.0,3886.0,10,1627516800000
1,15403.0,4511.0,1212,1627516800000
1,15729.0,5296.0,355,1627516800000
1,15798.0,5931.0,203,1627516800000
1,15925.0,4221.0,72,1627516800000
1,15429.0,5063.0,919,1627516800000
1,15686.5,5153.0,445,1627516800000
1,15811.0,4442.0,177,1627516800000
1,15802.0,2783.0,95,1627516800000
1,15822.5,2507.0,98,1627516800000
1,15864.0,3773.0,54,1627516800000
1,15812.0,3392.0,12,1627516800000
1,15772.0,3673.0,12,1627516800000
1,15514.0,2342.0,223,1627516800000
1,15563.5,5269.0,756,1627516800000
1,15721.5,4080.0,166,1627516800000
1,15779.5,2767.0,77,1627516800000
1,15850.0,2679.0,41,1627516800000
1,15893.0,3402.0,57,1627516800000
1,15648.0,3447.0,516,1627516800000
1,15445.5,3461.0,365,1627516800000
1,15756.0,2621.0,72,1627516800000
1,15599.0,2673.0,87,1627516800000
1,15843.5,3642.0,99,1627516800000
1,15858.0,4091.0,111,1627516800000
1,15887.0,3275.0,86,1627516800000
1,15426.0,3215.0,913,1627516800000
1,15836.5,3744.0,161,1627516800000
