label,LST,NDVI,elevation,ACQ_DATE
1,15729.0,4972.0,344,1627862400000
0,15293.0,4486.0,1772,1627245083647
0,15525.0,4118.0,1206,1627245083647
1,15295.5,4689.5,58,1626048000000
1,15649.0,5259.0,683,1627776000000
1,15600.0,5047.0,899,1627862400000
1,15644.0,5993.0,353,1627689600000
0,15256.0,4970.0,1093,1627245083647
1,15575.5,5619.0,689,1628035200000
0,15224.0,5269.0,1611,1627245083647
0,15274.0,6100.0,801,1627245083647
1,15733.0,5759.0,277,1627689600000
1,15522.0,6721.0,940,1627776000000
0,15309.0,5147.0,909,1627245083647
0,15874.0,2500.0,886,1625872095008
1,15623.5,4939.0,329,1627516800000
0,15910.0,2250.0,1203,1626539142021
1,15349.5,5462.0,1346,1627603200000
1,15578.0,6386.0,757,1627776000000
1,15656.5,5612.0,201,1627516800000
0,15217.0,2917.0,2300,1627245083647
1,15852.0,3978.0,128,1627689600000
1,15225.0,5117.0,1523,1628035200000
1,15678.0,5742.0,370,1627516800000
1,15451.0,4378.0,1057,1627862400000
1,15493.0,5860.0,1133,1627689600000
0,15551.0,3371.0,1457,1625377587649
1,15333.0,4786.0,1631,1627948800000
1,15814.0,4829.0,701,1627689600000
0,15098.0,3284.0,1735,1625575132879
1,15716.0,5345.0,248,1627948800000
0,15906.0,1642.0,830,1626080200387
0,15741.0,2597.0,1166,1626736157129
1,15451.0,7014.0,951,1627862400000
0,15470.0,4768.0,1039,1626500971157
1,15619.5,6297.0,406,1627516800000
1,15763.5,5118.0,278,1627516800000
1,15643.0,5979.0,588,1627862400000
0,15774.0,4487.0,4,1627245083647
1,15810.0,4164.0,78,1627430400000
1,15571.0,4502.0,799,1628035200000
1,15744.0,5154.0,464,1627948800000
1,15659.0,5321.0,479,1627862400000
1,15640.0,6507.0,569,1627948800000
0,15225.0,5802.0,923,1627245083647
1,15463.0,4803.0,1289,1627689600000
1,15482.0,5010.0,866,1627862400000
1,15345.0,4757.0,1709,1627689600000
1,15344.5,5063.0,1095,1627603200000
1,15795.0,3242.0,602,1627776000000
0,15426.0,5449.0,945,1626525702295
0,15799.0,1527.0,1100,1627245083647
1,15493.0,5860.0,1133,1627776000000
1,15445.5,6386.0,783,1627603200000
0,15595.0,2811.0,1007,1627245083647
1,15678.0,4486.0,587,1627603200000
0,15213.0,6117.0,1069,1627245083647
1,15743.0,3942.0,12,1625875200000
1,15623.5,1759.0,3,1626912000000
0,15454.0,5566.0,1247,1626189707305
1,15589.0,5229.0,809,1627948800000
0,15451.0,3562.0,1058,1625705742470
1,15585.0,5490.0,907,1627603200000
1,15734.0,4523.0,507,1627862400000
0,15591.0,4223.0,579,1627245083647
0,15416.0,6185.0,419,1627245083647
1,15957.0,5260.0,291,1627689600000
1,15871.0,5378.0,494,1627689600000
1,15663.0,5416.0,479,1627948800000
1,15639.0,5465.0,769,1627689600000
1,15588.0,4182.0,981,1627862400000
0,15854.0,2014.0,1286,1626616953975
1,15585.0,5188.0,604,1627948800000
0,15670.0,4530.0,14,1627245083647
1,15498.0,5216.0,811,1628121600000
1,15418.0,6425.0,974,1627603200000
1,15289.0,6358.0,1356,1627603200000
1,15779.0,4343.5,222,1627430400000
1,15709.0,5850.0,690,1627689600000
1,15731.5,3360.5,26,1627430400000
1,15403.0,4511.0,1212,1627516800000
1,15708.0,5363.0,209,1627516800000
1,15845.0,5872.0,174,1627776000000
1,15612.5,5110.0,457,1627603200000
1,15721.5,4080.0,166,1627516800000
1,15671.0,5993.0,734,1627776000000
1,15766.0,5039.0,569,1627689600000
1,15772.0,5735.0,556,1627776000000
1,15724.5,5260.0,291,1627516800000
1,15615.0,3301.0,45,1628640000000
0,15135.5,1815.0,2076,1625934223037
1,15568.0,3791.0,1396,1627689600000
0,15482.0,4567.0,86,1627245083647
1,15461.0,5534.0,1220,1627776000000
0,15371.0,4058.0,1206,1627245083647
